STAT_ID,STAT_REG1,STAT_HS,STAT_REG2,STAT_REG3
US,"무계목강관(Seamless Carbon and Alloy Steel Standard, Line, and Pressure Pipe) ","73041910,73041950,73043160,73043900,73045150,73045960,73045980",반덤핑(규제중),한국
US,"무계목강관(Seamless Carbon and Alloy Steel Standard, Line, and Pressure Pipe) ","73041910,73041950,73043160,73043900,73045150,73045960,73045980",상계관세(규제중),한국
US,무방향성 전기강판(NOES: Non-Oriented Electrical Steel),"7225190000,7226191000,7226199000,7225508085,7225990090,7226925000,7226927050,7226928050,7226990180",반덤핑(규제중),"한국, 중국, 대만, 일본, 독일, 스웨덴"
US,송유관(Welded Line Pipe),"7305111030,7305115000,7305121030,7305125000,7305191030,7305195000,7306191010,7306191050,7306195110,7306195150,7305111060,7305121060",반덤핑(규제중),"한국, 튀르키예"
US,스테인리스 냉연강판 코일(Cold-rolled stainless steel sheet and strip in coils) ,"7219130030,7219130050,7219130070,7219130080,7219140030,7219140065,7219140090,7219320005,7219320020,7219320025,7219320035,7219320036,7219320038,7219320042,7219320044,7219330005,7219330020,7219330025,7219330035,7219330036,7219330038,7219330042,7219330044,7219340005,7219340020,7219340025,7219340030,7219340035,7219350005,7219350015,7219350030,7219350035,7219900010,7219900020,7219900025,7219900060,7219900080,7220121000,7220125000,7220201010,7220201015,7220201060,7220201080,7220206005,7220206010,7220206015,7220206060,7220206080,7220207005,7220207010,7220207015,7220207060,7220207080,7220208000,7220209030,7220209060,7220900010,7220900015,7220900060,7220900080",상계관세(규제중),한국
US,스테인리스 선재(Stainless steel wire rod),"7221000005,7221000015,7221000020,7221000030,7221000040,7221000045,7221000060,7221000075,7221000080",반덤핑(규제중),"한국, 일본, 대만"
US,아세톤(Acetone),"2914111000,2914115000,3814001000,3814002000,3814005010,3814005090",반덤핑(규제중),"벨기에, 한국, 남아공"
US,ESBR고무(Emulsion styrene-butadiene rubber),"4002190015,4002190019",반덤핑(규제중),"브라질, 한국, 멕시코, 폴란드, "
US,연벽사각파이프(Light-Walled Rectangular Pipe and Tube) ,"7306615000,7306617060",반덤핑(규제중),"한국, 멕시코, 튀르키예, 중국"
US,열연강판(Hot-Rolled Steel Flat Products),"7208101500,7208103000,7208106000,7208253000,7208256000,7208260030,7208260060,7208270030,7208270060,7208360030,7208360060,7208370030,7208370060,7208380015,7208380030,7208380090,7208390015,7208390030,7208390090,7208406030,7208406060,7208530000,7208540000,7208900000,7210703000,7211140030,7211140090,7211191500,7211192000,7211193000,7211194500,7211196000,7211197530,7211197560,7211197590,7225110000,7225190000,7225303050,7225307000,7225407000,7225990090,7226111000,7226119030,7226119060,7226191000,7226199000,7226915000,7226917000,7226918000,7210909000,7211900000,7212401000,7212405000,7212500000,7214910015,7214910060,7214910090,7214990060,7215905000,7226990180,7228606000",상계관세(규제중),한국
US,스테인리스 용접강관( ASTM A-312 welded stainless steel pipes),73064050,반덤핑(규제중),"한국, 대만"
US,스탠다드 강관(Circular-welded non-alloy pipes and tubes),"7306301000,7306305025,7306305032,7306305040,7306305055,7306305085,7306305090",반덤핑(규제중),"브라질, 한국, 멕시코, 대만"
US,유입식 변압기(Large Power Transformers) ,"8504230040,8504230080,8504909540",반덤핑(규제중),한국
US,인동(Phosphor Copper),7405001000,반덤핑(규제중),한국
US,저융점 폴리에스테르 단섬유(Low melt polyester staple fiber),5503200015,반덤핑(규제중),한국
US,철강후판(Cut-to-length carbon quality steel plate),"720840,720851,720852,720853,720890,721070,721090,721113,721114,721190,721240,721250,722540,722550,722599,722691,722699",반덤핑(규제중),"인도, 인도네시아, 한국"
US,철강후판(Cut-to-length carbon quality steel plate),"7208403030,7208403060,7208510030,7208510045,7208510060,7208520000,7208530000,7208900000,7210703000,7210909000,7211130000,7211140030,7211140045,7211900000,7212401000,7212405000,7212500000,7225403050,7225407000,7225506000,7225990090,7226915000,7226917000,7226918000,7226990000",상계관세(규제중),"인도, 인도네시아, 한국"
US,스테인리스 냉연강판 코일(Cold-rolled stainless steel sheet and strip in coils) ,"7219130030,7219130050,7219130070,7219130080,7219140030,7219140065,7219140090,7219320005,7219320020,7219320025,7219320035,7219320036,7219320038,7219320042,7219320044,7219330005,7219330020,7219330025,7219330035,7219330036,7219330038,7219330042,7219330044,7219340005,7219340020,7219340025,7219340030,7219340035,7219350005,7219350015,7219350030,7219350035,7219900010,7219900020,7219900025,7219900060,7219900080,7220121000,7220125000,7220201010,7220201015,7220201060,7220201080,7220206005,7220206010,7220206015,7220206060,7220206080,7220207005,7220207010,7220207015,7220207060,7220207080,7220208000,7220209030,7220209060,7220900010,7220900015,7220900060,7220900080",반덤핑(규제중),한국
US,타이어(Passenger Vehicle and Light Truck Tires) ,"4011101010,4011101020,4011101030,4011101040,4011101050,4011101060,4011101070,4011105000,4011201005,4011205010,4011901010,4011901050,4011902010,4011902050,4011908010,4011908050,8708704530,8708704546,8708704548,8708704560,8708706030,8708706045,8708706060",반덤핑(규제중),"한국, 대만, 태국"
US,탄소합금강 선재(Carbon and alloy steel wire rod),"7213913011,7213913015,7213913020,7213913093,7213914500,7213916000,7213990030,7227200030,7227200080,7227906010,7227906020,7227906030,7227906035,7227906090,7213990090",반덤핑(규제중),"남아공,우크라이나, 이탈리아, 한국, 러시아, 벨라루스, 스페인, 튀르키예, 영국, "
US,냉간압연강관(Certain cold-drawn mechanical tubing of carbon and alloy steel),"730431,730451,730630,730650",반덤핑(규제중),"중국, 독일, 인도, 이탈리아, 한국, 스위스 "
